Date,Amount,Debit/Credit,Detail,Running Balance
28-04-2026,4960.0,Credit,Transfer received,51220
28-04-2026,3300.0,Credit,POS receipt,195360
28-04-2026,1120.0,Debit,Fuel,172230
28-04-2026,110.0,Debit,Mobile easyload topup,154070
28-04-2026,310.0,Debit,Mobile easyload topup,128950
29-04-2026,2640.0,Debit,Atta flour,233040
29-04-2026,1130.0,Debit,P2P sent,179750
29-04-2026,220.0,Debit,Mobile easyload topup,138920
30-04-2026,2550.0,Credit,QR sale customer,46260
30-04-2026,5570.0,Credit,Cash in from Bilal,91830
30-04-2026,3790.0,Credit,POS receipt,100150
30-04-2026,3650.0,Credit,Transfer received,110750
30-04-2026,2420.0,Credit,Shop sale,135770
30-04-2026,3490.0,Debit,Rashan grocery kharcha,220580
30-04-2026,2040.0,Debit,Rashan grocery kharcha,131880
30-04-2026,7070.0,Debit,K-Electric bijli bill,98830
01-05-2026,3840.0,Credit,Shop sale,39330
01-05-2026,5600.0,Credit,Shop sale,141370
01-05-2026,3240.0,Credit,QR sale customer,198600
01-05-2026,3850.0,Credit,P2P received wallet,220030
01-05-2026,2220.0,Debit,Misc kharcha,243520
01-05-2026,3050.0,Debit,Rashan grocery kharcha,214150
01-05-2026,1990.0,Debit,Wholesale stock,207510
02-05-2026,2790.0,Credit,POS receipt,172890
02-05-2026,4260.0,Credit,Transfer received,189330
02-05-2026,1660.0,Debit,Wholesale stock,194120
02-05-2026,190.0,Debit,Mobile easyload topup,180880
02-05-2026,980.0,Debit,P2P sent,130900
02-05-2026,1650.0,Debit,Rashan grocery kharcha,106220
02-05-2026,2230.0,Debit,Transfer sent,94460
03-05-2026,5810.0,Credit,POS receipt,27510
03-05-2026,5270.0,Credit,P2P received wallet,241600
03-05-2026,4570.0,Credit,Cash in from Bilal,251030
03-05-2026,2160.0,Debit,Fuel,211990
03-05-2026,2350.0,Debit,Rashan grocery kharcha,112200
04-05-2026,2350.0,Credit,QR sale customer,229780
05-05-2026,5140.0,Credit,POS receipt,71160
05-05-2026,5230.0,Credit,QR sale customer,76390
05-05-2026,3680.0,Credit,POS receipt,125420
05-05-2026,4840.0,Credit,QR sale customer,207380
05-05-2026,3510.0,Credit,QR sale customer,254540
05-05-2026,1730.0,Debit,P2P sent,252810
05-05-2026,2080.0,Debit,Wholesale stock,186120
05-05-2026,1810.0,Debit,P2P sent,110390
06-05-2026,3920.0,Credit,POS receipt,161810
