Date,Amount,Debit/Credit,Detail,Running Balance
28-04-2026,1510.0,Credit,P2P received wallet,21850
28-04-2026,1070.0,Debit,Misc kharcha,45160
30-04-2026,2210.0,Debit,Committee BC contribution,23850
01-05-2026,3270.0,Credit,Transfer received,20340
01-05-2026,1940.0,Credit,QR sale customer,39090
01-05-2026,1740.0,Debit,Wholesale stock,34820
01-05-2026,1040.0,Debit,Transfer sent,33160
02-05-2026,870.0,Debit,Wholesale stock,58100
03-05-2026,2190.0,Credit,Shop sale,35120
03-05-2026,3200.0,Credit,QR sale customer,56510
04-05-2026,2180.0,Credit,QR sale customer,42720
04-05-2026,1560.0,Debit,Wholesale stock,56540
05-05-2026,1000.0,Debit,Atta flour,38610
05-05-2026,2940.0,Debit,MEPCO bijli bill,20910
06-05-2026,2040.0,Credit,POS receipt,17070
06-05-2026,2030.0,Credit,P2P received wallet,37150
07-05-2026,1790.0,Credit,Cash in from Bilal,62980
07-05-2026,620.0,Debit,Transfer sent,34200
08-05-2026,270.0,Debit,Mobile easyload topup,38340
11-05-2026,1970.0,Credit,Cash in from Bilal,23820
11-05-2026,980.0,Debit,Wholesale stock,36560
12-05-2026,2640.0,Debit,MEPCO bijli bill,26700
13-05-2026,2900.0,Credit,Shop sale,59410
16-05-2026,3380.0,Debit,Committee BC contribution,59600
17-05-2026,2390.0,Credit,Transfer received,32930
17-05-2026,2380.0,Credit,Shop sale,45100
17-05-2026,760.0,Debit,Rashan grocery kharcha,55780
17-05-2026,4850.0,Debit,Committee BC contribution,50930
17-05-2026,3290.0,Debit,MEPCO bijli bill,29870
18-05-2026,2450.0,Credit,QR sale customer,47550
18-05-2026,530.0,Debit,P2P sent,29340
19-05-2026,2320.0,Credit,QR sale customer,49870
19-05-2026,3440.0,Credit,Shop sale,53310
19-05-2026,570.0,Debit,Mobile easyload topup,20340
20-05-2026,2970.0,Debit,MEPCO bijli bill,42190
20-05-2026,800.0,Debit,Rashan grocery kharcha,37540
21-05-2026,1620.0,Debit,Wholesale stock,40570
21-05-2026,960.0,Debit,Rashan grocery kharcha,39610
22-05-2026,4700.0,Debit,Committee BC contribution,46230
23-05-2026,3360.0,Credit,Cash in from Bilal,30540
23-05-2026,1450.0,Credit,Shop sale,40540
24-05-2026,630.0,Debit,P2P sent,58970
25-05-2026,3170.0,Credit,POS receipt,15030
25-05-2026,3360.0,Credit,QR sale customer,27180
25-05-2026,1780.0,Credit,POS receipt,61190
25-05-2026,640.0,Debit,Misc kharcha,26060
28-05-2026,2540.0,Credit,QR sale customer,42510
28-05-2026,2420.0,Credit,Cash in from Bilal,62820
28-05-2026,2010.0,Credit,Shop sale,69230
28-05-2026,590.0,Debit,Fuel,46240
