tarikh,rakam,tafseel,balance
28-04-2026,3730.0,Cash in from Bilal,30820
28-04-2026,-1120.0,Rashan grocery kharcha,52770
29-04-2026,1930.0,QR sale customer,16050
30-04-2026,3940.0,Transfer received,11080
30-04-2026,3800.0,QR sale customer,37600
01-05-2026,3040.0,Transfer received,14120
01-05-2026,-1220.0,Misc kharcha,42150
01-05-2026,-2970.0,PESCO bijli bill,28130
02-05-2026,-2280.0,Wholesale stock,54860
02-05-2026,-1660.0,Fuel,40490
02-05-2026,-1750.0,Misc kharcha,38740
03-05-2026,1640.0,Shop sale,7140
03-05-2026,-910.0,Rashan grocery kharcha,57380
03-05-2026,-1500.0,P2P sent,48090
03-05-2026,-1320.0,Transfer sent,31100
04-05-2026,-1350.0,Transfer sent,43370
05-05-2026,-1330.0,Wholesale stock,36340
06-05-2026,-1420.0,P2P sent,49590
08-05-2026,1860.0,POS receipt,27090
08-05-2026,-1220.0,Atta flour,32420
10-05-2026,3390.0,P2P received wallet,40990
10-05-2026,-1010.0,Atta flour,58290
11-05-2026,2820.0,POS receipt,51080
12-05-2026,1810.0,P2P received wallet,25230
12-05-2026,-970.0,P2P sent,53890
13-05-2026,3550.0,P2P received wallet,23420
13-05-2026,2980.0,Shop sale,33800
16-05-2026,2820.0,POS receipt,53900
16-05-2026,-240.0,Mobile easyload topup,57140
17-05-2026,-1050.0,Rashan grocery kharcha,47040
18-05-2026,3820.0,QR sale customer,19870
20-05-2026,3970.0,Transfer received,44960
20-05-2026,3300.0,Cash in from Bilal,48260
21-05-2026,1980.0,QR sale customer,59300
23-05-2026,3420.0,Transfer received,57320
23-05-2026,-640.0,P2P sent,35700
24-05-2026,-1760.0,Fuel,51010
24-05-2026,-2320.0,Wholesale stock,44720
24-05-2026,-2060.0,Rashan grocery kharcha,33640
25-05-2026,-1070.0,P2P sent,37670
29-05-2026,2280.0,Transfer received,37680
30-05-2026,3370.0,Transfer received,71520
30-05-2026,-1280.0,Rashan grocery kharcha,75290
30-05-2026,-2020.0,Rashan grocery kharcha,58250
31-05-2026,1770.0,Transfer received,65690
01-06-2026,2810.0,QR sale customer,74330
02-06-2026,1630.0,POS receipt,48690
02-06-2026,-1110.0,Atta flour,60270
05-06-2026,3520.0,Cash in from Bilal,31650
05-06-2026,-2970.0,PESCO bijli bill,51310
06-06-2026,3480.0,P2P received wallet,41160
06-06-2026,-4530.0,PESCO bijli bill,68430
07-06-2026,-1270.0,Rashan grocery kharcha,76570
07-06-2026,-180.0,Mobile easyload topup,57590
08-06-2026,2270.0,POS receipt,79860
09-06-2026,3120.0,Transfer received,47060
09-06-2026,3760.0,QR sale customer,52450
09-06-2026,-580.0,Misc kharcha,78780
09-06-2026,-1450.0,Atta flour,63700
10-06-2026,2790.0,POS receipt,63920
10-06-2026,3260.0,Transfer received,77590
11-06-2026,3560.0,Transfer received,58280
11-06-2026,-940.0,Fuel,77840
11-06-2026,-1600.0,Transfer sent,54940
12-06-2026,-500.0,Mobile easyload topup,79360
12-06-2026,-230.0,Mobile easyload topup,54280
14-06-2026,2850.0,Cash in from Bilal,61130
14-06-2026,2460.0,Transfer received,68150
14-06-2026,-1330.0,Misc kharcha,61380
16-06-2026,-480.0,Mobile easyload topup,57770
17-06-2026,-1740.0,Fuel,66690
18-06-2026,-1050.0,Transfer sent,56540
18-06-2026,-430.0,Mobile easyload topup,54510
20-06-2026,-860.0,Misc kharcha,74430
20-06-2026,-1470.0,P2P sent,72960
21-06-2026,3750.0,Shop sale,35400
21-06-2026,2780.0,P2P received wallet,43940
21-06-2026,-990.0,Atta flour,62710
22-06-2026,2270.0,POS receipt,54720
22-06-2026,-1540.0,Misc kharcha,65150
27-06-2026,1630.0,QR sale customer,54830
27-06-2026,-1000.0,Transfer sent,82430
27-06-2026,-1320.0,Fuel,74750
01-07-2026,3880.0,Shop sale,75880
02-07-2026,3650.0,Cash in from Bilal,82440
02-07-2026,-1180.0,Wholesale stock,83430
02-07-2026,-1040.0,Fuel,78270
03-07-2026,-540.0,Mobile easyload topup,92870
03-07-2026,-1240.0,Transfer sent,86980
04-07-2026,-2260.0,Rashan grocery kharcha,97750
04-07-2026,-4340.0,PESCO bijli bill,93410
04-07-2026,-860.0,Fuel,88220
04-07-2026,-1000.0,Wholesale stock,79310
05-07-2026,2840.0,POS receipt,59460
06-07-2026,-1090.0,Wholesale stock,85890
06-07-2026,-1280.0,P2P sent,84610
09-07-2026,3940.0,Cash in from Bilal,92550
10-07-2026,3020.0,Shop sale,88610
10-07-2026,3760.0,Shop sale,100010
10-07-2026,-1530.0,Wholesale stock,89080
10-07-2026,-2200.0,Rashan grocery kharcha,76070
11-07-2026,1890.0,Cash in from Bilal,53200
11-07-2026,2810.0,QR sale customer,69230
11-07-2026,-1150.0,Rashan grocery kharcha,80310
13-07-2026,2020.0,POS receipt,96250
13-07-2026,-970.0,Wholesale stock,81460
14-07-2026,1810.0,Shop sale,61270
14-07-2026,-2010.0,Atta flour,71380
15-07-2026,2630.0,Shop sale,66420
15-07-2026,2910.0,Shop sale,78790
16-07-2026,-2080.0,Wholesale stock,69130
17-07-2026,2770.0,POS receipt,72000
18-07-2026,2520.0,Shop sale,63790
18-07-2026,-2260.0,Atta flour,90610
19-07-2026,-170.0,Mobile easyload topup,71210
19-07-2026,-1640.0,Transfer sent,67490
20-07-2026,3150.0,Transfer received,85590
21-07-2026,-1360.0,Wholesale stock,73390
23-07-2026,1790.0,Cash in from Bilal,56620
24-07-2026,1680.0,Transfer received,94230
