txn_date,amount,type,counterparty,balance
28-04-2026,2010.0,Debit,IESCO bijli bill,56110
28-04-2026,1160.0,Debit,Wholesale stock,35400
29-04-2026,1330.0,Credit,POS receipt,30680
29-04-2026,570.0,Debit,P2P sent,55540
29-04-2026,1850.0,Debit,IESCO bijli bill,24560
30-04-2026,1890.0,Credit,Shop sale,35940
30-04-2026,1820.0,Credit,Cash in from Bilal,50100
30-04-2026,2060.0,Credit,Shop sale,57940
30-04-2026,930.0,Debit,Misc kharcha,60190
01-05-2026,1830.0,Credit,POS receipt,19070
01-05-2026,2130.0,Credit,POS receipt,32810
01-05-2026,2070.0,Credit,POS receipt,52170
01-05-2026,800.0,Debit,Misc kharcha,65220
01-05-2026,870.0,Debit,Wholesale stock,36560
02-05-2026,900.0,Credit,P2P received wallet,60190
02-05-2026,1660.0,Credit,Shop sale,61850
02-05-2026,360.0,Debit,Transfer sent,32800
03-05-2026,1280.0,Credit,QR sale customer,22060
03-05-2026,1130.0,Credit,POS receipt,48280
03-05-2026,1720.0,Debit,IESCO bijli bill,61760
03-05-2026,830.0,Debit,P2P sent,53890
03-05-2026,2250.0,Debit,IESCO bijli bill,49920
03-05-2026,1280.0,Debit,Atta flour,43050
05-05-2026,930.0,Debit,Fuel,34470
06-05-2026,880.0,Credit,Transfer received,8690
06-05-2026,390.0,Debit,Misc kharcha,64830
06-05-2026,310.0,Debit,Mobile easyload topup,49610
06-05-2026,360.0,Debit,Transfer sent,33160
06-05-2026,920.0,Debit,Fuel,23640
07-05-2026,1770.0,Credit,POS receipt,64470
08-05-2026,490.0,Debit,Misc kharcha,31200
09-05-2026,1990.0,Credit,Shop sale,11750
09-05-2026,1900.0,Credit,Shop sale,17240
09-05-2026,1710.0,Credit,Transfer received,20780
09-05-2026,1020.0,Debit,Wholesale stock,52170
10-05-2026,1240.0,Credit,Cash in from Bilal,34050
10-05-2026,570.0,Debit,P2P sent,67130
10-05-2026,930.0,Debit,Wholesale stock,59260
10-05-2026,710.0,Debit,Atta flour,45030
10-05-2026,1870.0,Debit,IESCO bijli bill,40640
10-05-2026,430.0,Debit,Misc kharcha,23210
11-05-2026,2130.0,Credit,QR sale customer,38070
11-05-2026,1960.0,Credit,POS receipt,42620
11-05-2026,1240.0,Credit,P2P received wallet,54550
11-05-2026,370.0,Debit,P2P sent,64460
13-05-2026,1710.0,Credit,POS receipt,45890
14-05-2026,1260.0,Credit,QR sale customer,47150
14-05-2026,860.0,Debit,Rashan grocery kharcha,37430
15-05-2026,980.0,Debit,Misc kharcha,63480
15-05-2026,950.0,Debit,Fuel,33520
16-05-2026,1560.0,Credit,P2P received wallet,44180
16-05-2026,850.0,Credit,POS receipt,62700
17-05-2026,960.0,Credit,QR sale customer,7810
17-05-2026,1070.0,Credit,Cash in from Bilal,9760
17-05-2026,1220.0,Credit,P2P received wallet,15340
17-05-2026,150.0,Debit,Mobile easyload topup,58670
17-05-2026,820.0,Debit,Atta flour,54720
17-05-2026,700.0,Debit,Transfer sent,53190
17-05-2026,540.0,Debit,Fuel,40100
18-05-2026,1430.0,Credit,Transfer received,29350
18-05-2026,1550.0,Credit,Transfer received,40660
18-05-2026,1350.0,Credit,POS receipt,59290
18-05-2026,760.0,Debit,P2P sent,45740
18-05-2026,730.0,Debit,P2P sent,32070
18-05-2026,380.0,Debit,P2P sent,31690
19-05-2026,1140.0,Credit,Transfer received,53310
19-05-2026,900.0,Debit,Wholesale stock,29270
20-05-2026,1040.0,Credit,Shop sale,39110
20-05-2026,550.0,Debit,Wholesale stock,58120
20-05-2026,450.0,Debit,Transfer sent,49160
20-05-2026,1180.0,Debit,Atta flour,47240
20-05-2026,700.0,Debit,Fuel,44330
20-05-2026,1240.0,Debit,Rashan grocery kharcha,28030
20-05-2026,830.0,Debit,Rashan grocery kharcha,27200
21-05-2026,640.0,Debit,Transfer sent,61120
21-05-2026,440.0,Debit,P2P sent,58820
21-05-2026,740.0,Debit,P2P sent,46500
21-05-2026,780.0,Debit,Wholesale stock,39320
22-05-2026,1250.0,Credit,Cash in from Bilal,13000
22-05-2026,1030.0,Debit,Wholesale stock,38290
22-05-2026,1030.0,Debit,Transfer sent,30170
23-05-2026,1220.0,Credit,QR sale customer,23280
23-05-2026,1570.0,Credit,P2P received wallet,24850
23-05-2026,1740.0,Credit,Shop sale,26590
23-05-2026,2030.0,Credit,QR sale customer,66500
23-05-2026,790.0,Debit,Atta flour,26410
24-05-2026,1330.0,Credit,Shop sale,27920
24-05-2026,1330.0,Credit,Shop sale,55880
24-05-2026,1110.0,Debit,Rashan grocery kharcha,66020
24-05-2026,740.0,Debit,Fuel,48420
25-05-2026,1250.0,Credit,Cash in from Bilal,6850
25-05-2026,1120.0,Credit,P2P received wallet,14120
25-05-2026,1200.0,Credit,QR sale customer,67700
25-05-2026,540.0,Debit,Fuel,42510
28-05-2026,2060.0,Credit,Shop sale,81500
28-05-2026,1290.0,Debit,Wholesale stock,70820
29-05-2026,820.0,Credit,POS receipt,32840
29-05-2026,1570.0,Credit,POS receipt,49700
29-05-2026,1650.0,Credit,QR sale customer,56080
29-05-2026,1320.0,Credit,P2P received wallet,64600
29-05-2026,2020.0,Credit,Transfer received,72530
30-05-2026,900.0,Credit,POS receipt,40800
30-05-2026,1320.0,Debit,Rashan grocery kharcha,74760
30-05-2026,910.0,Debit,Misc kharcha,73850
30-05-2026,1200.0,Debit,Atta flour,55020
31-05-2026,1820.0,Credit,QR sale customer,45270
01-06-2026,1240.0,Credit,P2P received wallet,76800
01-06-2026,290.0,Debit,Mobile easyload topup,62050
02-06-2026,1980.0,Credit,Shop sale,27770
02-06-2026,1840.0,Debit,IESCO bijli bill,60210
03-06-2026,1980.0,Credit,Transfer received,38250
03-06-2026,1470.0,Credit,QR sale customer,58860
03-06-2026,1220.0,Credit,QR sale customer,73750
03-06-2026,1980.0,Debit,IESCO bijli bill,67600
03-06-2026,480.0,Debit,P2P sent,51420
04-06-2026,1120.0,Credit,Shop sale,48130
04-06-2026,520.0,Debit,Transfer sent,49670
05-06-2026,1740.0,Credit,Transfer received,47010
05-06-2026,1960.0,Debit,IESCO bijli bill,43300
06-06-2026,1020.0,Credit,P2P received wallet,59880
